id,building,carbon,climate,economy,energy,food,general,life,pollution,prod&cons,resources,transport,dedicated
27319,0,0,0,0,0,0,0,0,0,0,0,0,0
27320,0,0,0,0,0,0,0,0,0,0,0,0,0
27335,0,0,0,0,0,0,0,0,0,0,0,0,0
27337,0,0,0,0,0,0,0,0,0,0,0,0,0
27338,0,0,0,0,0,0,0,0,0,0,0,0,0
27339,0,0,0,0,0,0,0,0,0,0,0,0,0
27340,0,0,0,0,0,0,0,0,0,0,0,0,0
27389,0,0,0,0,0,0,0,0,0,0,0,0,0
27543,0,0,0,0,0,0,0,0,0,0,0,0,0
27544,0,0,0,0,0,0,0,0,0,0,0,0,0
27546,0,0,0,0,0,0,0,0,0,0,0,0,0
27547,0,0,0,0,0,0,0,0,0,0,0,0,0
27548,0,0,0,0,0,0,0,0,0,0,0,0,0
27549,0,0,0,0,0,0,0,0,0,0,0,0,0
27551,0,0,0,0,0,0,0,0,0,0,0,0,0
27554,0,0,0,0,0,0,0,0,0,0,0,0,0
27555,0,0,0,0,0,0,0,0,0,0,0,0,0
27556,0,0,0,0,0,0,0,0,0,0,0,0,0
27557,0,0,0,0,0,0,0,0,0,0,0,0,0
27558,0,0,0,0,0,0,0,0,0,0,0,0,0
27559,0,0,0,0,0,0,0,0,0,0,0,0,0
27560,0,0,0,0,0,0,0,0,0,0,0,0,0
27561,0,0,0,0,0,0,0,0,0,0,0,0,0
27563,0,0,0,0,0,0,0,0,0,0,0,0,0
27564,0,0,0,0,0,0,0,0,0,0,0,0,0
27565,0,0,0,0,0,0,0,0,0,0,0,0,0
27566,0,0,0,0,0,0,0,0,0,0,0,0,0
27567,0,0,0,0,0,0,0,0,0,0,0,0,0
27568,0,0,0,0,0,0,0,0,0,0,0,0,0
27569,0,0,0,0,0,0,0,0,0,0,0,0,0
27570,0,0,0,0,0,0,0,0,0,0,0,0,0
27571,0,0,0,0,0,0,0,0,0,0,0,0,0
27572,0,0,0,0,0,0,0,0,0,0,0,0,0
27573,0,0,0,0,0,0,0,0,0,0,0,0,0
27574,0,0,0,0,0,0,0,0,0,0,0,0,0
27575,0,0,0,0,0,0,0,0,0,0,0,0,0
27576,0,0,0,0,0,0,0,0,0,0,0,0,0
27577,0,0,0,0,0,0,0,0,0,0,0,0,0
27578,0,0,0,0,0,0,0,0,0,0,0,0,0
27579,0,0,0,0,0,0,0,0,0,0,0,0,0
27580,0,0,0,0,0,0,0,0,0,0,0,0,0
27581,0,0,0,0,0,0,0,0,0,0,0,0,0
27582,0,0,0,0,0,0,0,0,0,0,0,0,0
27583,0,0,0,0,0,0,0,0,0,0,0,0,0
27584,0,0,0,0,0,0,0,0,0,0,0,0,0
27586,0,0,0,0,0,0,0,0,0,0,0,0,0
27587,0,0,0,0,0,0,0,0,0,0,0,0,0
27588,0,0,0,0,0,0,0,0,0,0,0,0,0
27589,0,0,0,0,0,0,0,0,0,0,0,0,0
27590,0,0,0,0,0,0,0,0,0,0,0,0,0
27591,0,0,0,0,0,0,0,0,0,0,0,0,0
27592,0,0,0,0,0,0,0,0,0,0,0,0,0
27593,0,0,0,0,0,0,0,0,0,0,0,0,0
27594,0,0,0,0,0,0,0,0,0,0,0,0,0
27595,0,0,0,0,0,0,0,0,0,0,0,0,0
